symbol,CVSAId,category,market,currency,settlPeriod,lotSize,minimumSize,block,isin,instrumentStatus,issuer,securityDescription,tickPriceId
SAMID,859,01-ACCIONES PRIVADAS,CT,USD,0002,0.1000000,15.00000,0,ARSMIG010018,0,0599-SAN MIGUEL S.A.,"S.A.SAN MIGUEL ""B"" 1 VOTO",Tick_Acciones
SAMID,859,01-ACCIONES PRIVADAS,CT,USD,0001,0.1000000,15.00000,0,ARSMIG010018,0,0599-SAN MIGUEL S.A.,"S.A.SAN MIGUEL ""B"" 1 VOTO",Tick_Acciones
BBARD,94,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,1.00000,0,ARP125991090,0,0108-BBVA BANCO FRANCES S,BBVA BCO.FRANCES S.A.,Tick_Acciones_Lider_CEDEAR
EDND,508,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,1.00000,0,ARENOR010020,0,0556-EDENOR S.A.,EMP.DIST.Y COM.NORTE (EDENOR)O,Tick_Acciones_Lider_CEDEAR
EDND,508,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,1.00000,0,ARENOR010020,0,0556-EDENOR S.A.,EMP.DIST.Y COM.NORTE (EDENOR)O,Tick_Acciones_Lider_CEDEAR
TXARD,839,01-ACCIONES PRIVADAS,CT,USD,0002,1.0000000,1.00000,0,ARSIDE010029,0,0549-SIDERAR S.A.I.C.,TERNIUM ARGENTINA S.A.,Tick_Acciones_Lider_CEDEAR
TXARD,839,01-ACCIONES PRIVADAS,CT,USD,0001,1.0000000,1.00000,0,ARSIDE010029,0,0549-SIDERAR S.A.I.C.,TERNIUM ARGENTINA S.A.,Tick_Acciones_Lider_CEDEAR
BBAR,94,01-ACCIONES PRIVADAS,CT,ARS,0002,1.0000000,1.00000,0,ARP125991090,0,0108-BBVA BANCO FRANCES S,BBVA Argentina S.-ESCRITURALES,Tick_Acciones_Lider_CEDEAR
BBAR,94,01-ACCIONES PRIVADAS,CT,ARS,0001,1.0000000,1.00000,0,ARP125991090,0,0108-BBVA BANCO FRANCES S,BBVA Argentina S.-ESCRITURALES,Tick_Acciones_Lider_CEDEAR
BBARC,94,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARP125991090,0,0108-BBVA BANCO FRANCES S,BCO.FRANCES S.A.-ESCRITURALES,Tick_Acciones_Lider_CEDEAR
BBARC,94,01-ACCIONES PRIVADAS,CT,EXT,0001,1.0000000,1.00000,0,ARP125991090,0,0108-BBVA BANCO FRANCES S,BCO.FRANCES S.A.-ESCRITURALES,Tick_Acciones_Lider_CEDEAR
PAMPC,457,01-ACCIONES PRIVADAS,CT,EXT,0002,1.0000000,1.00000,0,ARP432631215,0,0103-PAMPA ENERGIA S.A.,PAMPA ENERGIA S.A.,Tick_Acciones_Lider_CEDEAR
